incoming,text
"""This is a bad idea.""","""Everything will be fine,"" Markie says.\n\nThe groups go their separate ways; you hike down the cliff with Markie. It takes the larger portion of an hour to reach your tunnel. You step inside.\n\n""Let's turn our lights on,"" Markie says quietly.\n\nYou both tell your suits to turn your on your light attachments. Yours flickers for a moment before shooting a cone of light from your chest compartment.\n\nThe two of you proceed through the cave. On the Head-Up Display (HUD) of your suit, you can see the heartbeat monitors of everyone in your squad. You see that yours is going a little faster than normal and, knowing that everyone else can see that, you feel a little embarrassed.\n\nYou proceed through the cave.\n\n""These caverns are massive. This one seems to just go on and on.""\n\n1.[[""What do you think made them?""]]\n"
"""Travis...let her go.""","""Are you serious?!"" he yells, hands clutching her throat still. She throws a weak punch at his arm. ""She killed him; she'll kill us, too.""\n\n""Dude, just...stop. We'll tell the authorities what she did when we get back.""\n\nMeat considers this and then lets go of Strauss. She gasps for air. ""Insane...idiot!""\n\n""You shut your damn mouth. I'm a second away from adding your body to the pile.""\n\nMeat sets down his backpack and opens it up, pulling out the glass bottle, rag, and oil can.  He gets to work as Strauss stumbles over to join you and Neil.\n\n""Thanks,"" she says, not turning to face you.\n\n1.[[""Don't you say a goddamn word to me.""]]\n2.[[""I really should have let him kill you.""]]\n3.[[""Yeah. Don't mention it. Really.""]]\n\n"
"Send somebody to check on Neil.","""I'll go,"" Strauss says. ""Anything to get away from this moron.""\n\n""Be careful, sweetheart,"" says Meat. ""It'd be a shame for you to get your face bitten off.""\n\n""Here. Take this."" Salvucci hands her his pistol. She nearly drops it.\n\n""Thanks captain.""\n\n""Be careful.""\n\nWithout another word, she disappears around the corner.\n\n1. [[Keep on in the direction of the mess hall.]]"
"Hand Meat the walkie.","Meat takes the walkie. ""Neil?""\n\n""She's fucking here, guys. Oh god she reeks.""\n\n""Sit tight,"" Meat says. He nods at you. Both of you creep to the door. Meat pushes it open slightly and peers out. You look out as well.\n\nNeil is backing into a wall, face red and dripping with sweat. Several feet away is Markie. You can smell her from here, but that's not what's making you struggle not to gag. Her face is a jagged piece of flesh hanging from her skull, her sockets void of eyeballs.\n\n""Stay away from me,"" Neil begs.\n\nIt lumbers toward the pilot, groaning. Several teeth fall to the ground in a mixture of salvia and blood.\n\n""Now,"" Meat says.\n\nThe two of you emerge from the kitchen. Markie doesn't even have time to turn her head before machinegun fire rips the neck from her body and her head tumbles to the floor, smashing to the ground like a pumpkin.\n\nMeat opens his mouth to let loose a witty remark, but vomit emerges. You're not far behind, the smell finally having gotten the best of you. Luckily, there's not much for you and your partner to barf up.\n\n""Oh godfuckingshit,"" Neil yells. ""That was Markie."" He takes a step closer to the body, his arm over his nose. ""So, we like win now, right? They're all dead?""\n\n""Yeah, I think—""\n\nMeat is cut off by the sound of Markie's hand slapping the floor as the body convulses, pus and blood shooting from the decimated neck stump. He fires the rest of the clip into the corpse.\n\n1. [[Shoot her!]]\n2. [[Run into the kitchen!]]\n"
"Save Meat's life.","The hail of bullets clip the tentacle above Meat. It falls to the floor, but the beast itself is unfazed. Meat scrambles over to you.\n\n""We've got to go now.""\n\nYou and Meat run past the monster. It swings a tentacle at you that comes close to taking off both your heads. The monster howls as you rush past it. \n\nYou both run until Meat, out of breath, stops in a distant hallway. You fall to the ground, back against the wall.\nYou both take a breath.\n\n""What happens now?""\n\n1.[[""We put that thing down. Once and for all.""]]\n2.[[""Well...I've got two bullets. So there's that.""]]\n"
"""Any ideas how to beat that thing?""","""One, but we have to act quickly. Let's go to sickbay.""\n\nYou follow her. When you get there, she tells you to lock both doors leading into the unit. You do so.\n\n""How many rounds do you have left?"" she asks as she pulls out a small brush and a flask of a yellow sticky substance.""\n\nYou hand her the clip.\n\n""Okay, good, there's enough here.""\n\nYou watch her get to work. She ejects each bullet from the clip and then sticks her brush carefully inside the flask. Pulling the brush from the flask, she coats each bullet with some of the goo.\n\n1.[[""What are you doing?""]]\n"
"""I had to choose.""","""Yes,"" he says, wiping his forehand with the back of his hand. ""I know. For what it's worth, I really appreciate it.""\n\nYou both take a breath.\n\n""What now?""\n\n1.[[""We kill it.""]]\n2.[[""I've got at least two rounds left.""]]"
"""I think so...but I couldn't tell for sure.""","""Either way, we'll burn the corpses. Travis, take care of it.""\n\n""On it,"" Meat says, leaving you two alone.\n\n""Come on, we'll head to the cockpit. See if we can figure out how to fly this thing.""\n\nIf only it were that easy. You and Salvucci discover Neil's console locked.\n\n""Did he ever tell you his password?""\n\n1. [[""He didn't.""]]\n\n"
"""Do you want to talk?""","She looks at you, tears in her eyes, and says ""I just want to sleep.""\n\nShe gets into her pod without another word. The hatch closes over her. You get in yours and close your eyes as the hatch seals. Sleep follows.\n\nWhen you awaken, you find yourself being assisted by a corporal. He takes you by the arm and guides you up from the pod. \n\nBoth you and Strauss are transported to private rooms on the biggest military outpost in New Texas. You order steak and wine but find that you don't have an appetite. Some suits interview you and, after you answer every question, you're told that you'll be allowed to leave soon.\n\n""Soon"" turns out to be three days. You and Strauss meet on the base. She seems paler and thinner.\n\n""Can we get a drink?"" she asks. ""I just want to go somewhere, anywhere but home first.""\n\n1. [[Get a drink with Strauss]]\n2. [[Opt to go home.]]\n"
"Kill yourself.","No sense in delaying the inevitable, you suppose.\n\nYou press the gun against your temple and pull the trigger. You lifeless body collapses onto the floor to join the others.\n\nYour ship drifts through space for nearly three weeks until it finally collides with an asteroid and explodes, vaporizing your corpses.\n\nThe End"
"""Don't get yourself killed.""","""Yeah, thanks,"" he says before heading out the other sickbay door. You step outside to find Salvucci loading his pistol.\n\n""Better to be safe than sorry. Do you have your pistol?""\n\nYou nod.\n\n""Good. Hopefully we won't need it.""\n\nThe two of you walk down the hallway. Salvucci appears to be deep in thought.\n\n1.[[""It ain't your fault.""]]\n2.[[""Why the long face, cap?""]]\n"
"""Fuck. Guess the old man was right.""","He sighs. ""I know. I'll, just, god..god damn it, just give me a second to set a course for the sun.""\n\nYou watch as he presses some buttons on the console and turns to you.\n\n""So, how do you want to do thi--"" he's only begun to show fear when you shoot him in the face. He flops to the floor. You carefully step past him and look out into the darkness of space.\n\nYou realize the few loved ones you have at home will never know what happened to you. You will die a mystery.\n\nYou put the gun to your temple and pull the trigger.\n\nSeveral month later, the Speedwell tries to fly into the heart of the sun but is vaporized.\n\nThe End\n"
"""They're doing what?""","""Blowing it to smithereens. Higher-ups decided it was already a husk of a planet anyway. A fleet's heading there now; they're gonna bombard it until it's nothing but dust. Can you imagine that? Where our ancestors came from...just gone? It doesn't feel right.""\n\n1.[[""No, it doesn't.""]]\n2.[[""Nothing to be done about it, I guess.""]]"
"""I needed to ensure my survival. I had to use her as bait.""","Your confession damns you. You're court-martialed and found guilty of murder in the first degree. You're sentenced to life aboard Titan penitentiary.\n\nYou live within the walls of this fine establishment for 63 more years. You learn to live without dignity and eventually, after a decade of abuse from both your inmates and the guards, earn your own amount of respect. An inmate doesn't like the way you look at her. She attacks you. You snap her neck.\n\nNo one messes with you anymore.\n\nYou spend the rest of your days caring for the community garden and reading literature in the library. No one comes to see you, which is fine. You've made it this far without people. You thrive in loneliness. At least, that's what you tell yourself.\n\nOne morning your cellmate, Lucca, tries wake you up only to find that you're not breathing. You're cold to the touch. ""She's dead,"" she yells at a nearby guard. ""This bitch is dead!""\n\nThe End\n"
"""Yes, I'm fine.""","He gives a good natured smile, says ""Just wanted to make sure. You looked troubled.""\n\n""Stop trying to hit that, Ryan. It's not gonna happen,"" says Markie, the Speedwell's science officer.\n\nRyan waves his hand dismissively.\n\nThe enforcer of the group, Meat, chuckles. ""She told you.""\n\n1.[[Nudge Markie and give her a wink of gratitude.]]\n2.[[Say nothing.]]\n"
"""Don't talk, okay?""","But he doesn't. ""Doctor Strauss left me here, and...and Markie chased her into the hallway. I can't believe she left me.""\n\nBefore you can say a word, something SLAMS into you, knocking you and the rifle across the floor. You look up. The rifle's light shines on Markie as she sits atop of Ben, a scalpel in her hand.  She's giggling like a hyena. You can only see the side of her face but you know that your friend is gone. Blood and grime are dripping off her body, and her skin is peeling.\n\nAs if to remove all trace of doubt, the creature inside your friend speaks. ""Now now teacher's pet, no one likes a suck-up!""\n\n""The hell?!"" Meat roars.\n\nThe thing slams the scalpel into Ben's face, sinking the blade into his right eyeball.\n\n1. [[Rush her.]]\n2. [[Scream in terror.]]"
"""It's not your fault.""","He changes the subject. ""What do you think it is you found on Earth?"" Salvucci says. Your reassurance seems to have made him more focused.\n\n1.[[""Cthulhu?""]]\n2.[[""No clue.""]]\n"
"""You too.""","You watch as Meat staggers out of the bar, hoping he calls a cab. You wait a ten more minutes to avoid any awkward post-goodbyes and then stumble outside yourself.\n\nA cab picks you up and takes you to your little house in the Martian suburbs.  You pay the cabbie and walk past your box—you'll get the mail later—and inside your home.\n\nThe door slides shut. And that's when you fall apart. You crumble to the floor and bawl yourself to sleep. You wake up in the night only to cry yourself asleep again.\n\nWhen you wake up, you want to believe it's a new day but you can still feel the weight of the dead on your shoulders. It's a weight you never learn to shake completely , but you grow accustomed to it: the night terrors, the sudden flashes of Ben dying in agony.\n\nMeat's friendship and an ungodly amount of therapy helps you get through the trauma, as does Melissa, the woman who becomes your wife. The military sticks you with an analyst position, something you're quite fine with, though it is boring work.\n\nYou grow older. Melissa talks about having kids.\n\n1. [[Have kids.]]\n2. [[Don't have kids.]]\n"
"""Captain, say something.""","""This is a bad horror movie,"" Ben moans, staring into the glass while Markie gazes at her own cauterized stump. She's drooling now and has a nosebleed. You can see black veins popping beneath the skin on her forehead.\n\n""Enough,"" Salvucci says at last. ""We're not killing anyone on my ship—we're not savages.""\n\nMeat seems relived. ""Thanks, boss.""\n\n""This is a mistake,"" Strauss says.\n\n""Maybe,"" he says, ""but it's my mistake to make, not yours. Do what you can to keep her alive and prep her for cryo sleep.""\n\n""Again, a mistake.""\n\n""Dr. Strauss, unless you want to be brought before a military tribunal for insubordination, I suggest you do as I say.\n\n""Yes, captain,"" she says, voice calm, but there's a fire in her eyes. ""Ben, lower the temperature to 15 degrees Fahrenheit. We'll try to freeze her.""\n\nMarkie looks up at you all. A smile breaks out over her face and then she leans over and pukes.\n\n""Disgusting creature,"" Strauss mutters.\n\n""Travis, Julia, to the cockpit,"" Salvucci says.\n\n1. [[Go to the cockpit.]]"
"""Let's go hunting.""","""I like the sound of that!"" Meat says, slapping your back.\n\n""Hunt it with what, precisely? You shot it in the head, right?"" Strauss says.\n\n""Yeah.""\n\n""It got back up, right?""\n\n""Yeah, but this time I'll make it stay dead.""\n\n""With fire? You ignorant ape, what if those bodies are toxic? What if we inhale viruses?""\n\n""Doc, it's not that fucking hard. We set them on fire and then close the door. We lock the room, don't enter it for the rest of the voyage home.""\n\n""This is a horrible plan.""\n\n""Well, doctor Strauss,"" Salvucci interjects, ""do you have another plan in mind?""\n\nShe looks at the floor and then back at him. ""No. I don't, in fact.""\n\n""Then you're not giving us much of a choice."" \n\n""Should we split up to cover more ground?"" Meat asks.\n\n""No. I think we'll all stay together for this. Strength in numbers.""\n\n""Yes sir.""\n\n""Where should we hunt first, though?""\n\n1. [[Mess hall]]\n2. [[Barracks]]\n"
"Blast it.","You watch as Neil turns to run to the kitchen. He's a foot away from the door when a grey tentacle shoots out of the body's back and impales him through the chest. It whirls him about and throws him through the kitchen door.\n\n""Fuck it, run! Run!"" Meat yells. He drops the rifle and runs into the kitchen. You aren't far behind, jumping over a low slash from the tentacle. Right before you step inside, you see another writhing tentacle erupt from her body.\n\nYou slam the door and turn around. Strauss and Meat are looking over the bloody hole in Neil's chest. Blood is dripping from the corner of Neil's mouth. You hear another stretching sound follow by a splash outside. Another tentacle.\n\n""Fuck me, fuck fuck fuck,"" Meat says, his voice dripping with guilt. ""I'm so sorry.""\n\nNeil looks up at him. ""Not your fault, big man. Wasn't fast enough...""\n\n""Stop talking, sweetie,"" Strauss says, taking you by surprise with the earnest care in her voice as she examines the wound. ""An artery's been pierced.""\n\n""Shit, is there anything you can do for him?""\n\nStrauss looks at you both, clearly not wanting to give her answer in front of Neil. You feel a tap on your arm. Neil looks up at you.\n\n""Zoe, come here.""\n\nYou lean down.\n\n""Cockpit. Computer login is..."" he coughs up some blood. ""login is ‘K-O-N-A-M-I. Got it?""\n\n1.[[""Yeah. I understand.""]]"
"Burn it.","""I'm a fan of anything that doesn't include the possibility of us getting sucked out into space.""\n\n""We just might catch the whole ship on fire is all,""  Salvucci says.\n\n""Not if we do it right. We need to trap it in sickbay, where the extra cryopod is.""\n\n""Isn't that one broken?"" Meat  asks.\n\n""Yeah, which is perfect for us.""\n\n""I thought we were going to use fire?""\n\n""We are. Just...just trust me, okay?""\n\n Salvucci nods. ""Okay, doctor. What do we need to do.""\n\n""Give me your gun. I'm gonna run ahead and try and get it to follow.""\n\n""That's insane!"" Meat yells\n\n""It's already established I'm the weakest out of all of us. It'll track me. You guys follow behind at a distance and when you get there, you do exactly as I say, okay?""\n\nSalvucci hands her his pistol. ""Stay safe,"" he says.\n\nShe nods. She goes to the door. ""Doc,"" Meat says. She turns, hand on the door.\n\n""Be careful, okay?""\n\n""Thanks.""\n\n1.[[""Don't get killed.""]]\n2.[[""Keep one bullet in the chamber for yourself...just in case.""]]\n\n"
"""You aren't real.""","""No,"" she says, turning away from you. ""But it is.""\n\nYou turn just in time to make out the tentacle that rends your head from your body.\n\nThe last sound you hear is the beast roaring with satisfaction.\n\nThe End\n"
"""See you at home.""","You slide into your chamber and the hatch closes. You quickly fall into slumber. When you wake up, you're surounded by soldiers. One of them, a corporal, is saying something but his words are soundless. He takes you by the arm and guides you up from the pod.\n\nFrom there, you, the captain, and Meat are transported to the military outpost in New Austin. All of you are given private rooms and access to nearly anything you could want. You order a steak on the first night and it's delicious.\n\nJust as Meat said, men in suits come and interview you about your experiences on the Speedwell. You answer their questions in as much detail as you can. They thank you for your time and promise you will be released soon.\n\n""Soon"" turns out to be three days later. You, Meat, and Salvucci meet on the base and request a transport to the nearest bar. There, you all drink in almost complete silence, only uttering the names of the lost from time to time.\n\nYou all take seperate cabs home. When you reach your house in the suburbs, you pass your mailbox but decide to check it later. It's only when you swipe your card against the door's reader and hear it unlock that you feel as though you are truly safe. Inside, you shut the door and hang up your coat.\n\nYou go into the living room and sit on the couch. You do nothing but stare at the wall for hours, in a trance of sorts. You rub you finger up and down one of the cushions of your couch. You are alive to do this, but you're not sure you're thankful for that.\n\nYou begin to see a therapist. You make progress--according to him, anyway. You never really shake the memories of your time aboard the Speedwell, but you're able to cope with them.\n\nThat's more than can be said for Captain Salvucci, who eats \na bullet on the third anniversary of your return to Mars.\n\nYou don't go to the funeral.\n\nYou and Meat stay in contact but the emails you send one another are largely going through the motions bullshit. Your failure to connect with him is indicative of your relationship with the rest of humankind. You never marry or even begin what you're comfortable calling a relationship with anyone. For the first ten years or so this bothers you but you slowly grow comfortable with this new you.\n\nYou become a writer. Your sci-fi espionage novels sell well enough for you to live comfortably by yourself and away from everyone. You're mostly happy but sometimes there's a thought strikes you like the lash of a whip.\n\nYou are alone.\n\nThe End\n\n\n\n\n\n"
"""You're right. She's probably dead.""","You open your mouth to speak, but you're cut off by a familiar voice.  ""Well, captain, I guess it's too much to hope for some confidence in my abilities.""\n\nOut from a supply closet steps Strauss.  Sweat is dripping off her face; there's blood on her lab coat.\n\n""Doctor, are you hurt?""\n\n""No,"" she says. ""It broke through the glass and grabbed me, but Ben pushed it off. I ran and didn't look back. I heard him scream behind me.""\n\nSalvucci looks at you nervously.\n\n1.\t[[""Ben's dead.""]]\n2.\t[[""You left him to die, you bitch.""]]\n\n"
"""That's what you get.""","""Please hurry,"" she begs. ""We're in the cockpit.""\n\n""Hustle people,"" Meat says, breaking out into a sprint.\n\nYou and Neil follow.\n\nYou keep an eye out for Markie, but, thankfully, she never exploits your panic. When you reach the bend before the cockpit, Meat slows down and raises his hand for you to stop. You do so and listen. Just out of sight, you can hear something cracking.\n\nMeat steps out of the corner, and his face goes pale. You and Neil join him, your pistol raised in the direction of the cockpit. There, covered in red and yellow grime, his back to you, is Ben biting into Salvucci's leg and tearing away flesh and muscle. Salvucci is against the cockpit's door, either unconscious or dead. Blood trickles from his forehead. A crowbar is on the ground next to him.\n\nMeat aims down the sight and breathes hard.\n\n""Conserve the ammo,"" Neil says.\n\nMeat gently tugs the trigger. A round slams into Ben's neck; the creature masquerading in your crewmate's skin whirls around and slams into the wall. It hisses and stands up. What was once Ben's youthful face glares at you. \n\nThe thing takes a step forward.\n\nMeat fires another two shots that slam into its chest. Ben is knocked back, but he recovers quickly, taking another step toward you. And then another. He's closing in.\n\n""Well don't just stand there—shoot him!""\n\nYou aim down the sight of your pistol.\n\n1. [[Pull the trigger.]]\n"
"""Yeah. You too, doc.""","When you get inside your house, you finally allow yourself to break down and cry. For the dead, for you, for Strauss.\n\nIt takes years for you to come to terms with the fact that you're alive. You see a therapist to help you cope with the nightmares and PTSD episodes. You are reassigned to a boring job as an analyst, an occupation you're fine with. You never marry, though you do have a series of healthy relationships with their ups and downs.\n\nTwenty years later, Strauss sends you an email out of the blue; ""I'm sorry"" is all it says. The next morning the local news reports the suicide of a renowned doctor. You turn off the TV before the anchor says her name. Though you never really talked after the Speedwell incident, you can't help but feel that your universe is a little smaller without Lenore Strauss in it.\n\nYou are now alone.\n\nThe End\n"
"""Don't let it eat you.""","""Thanks,"" she says. She leaves the mess hall. You hear her break out into a run, her footsteps echoing through the hall.\n\n""Help!"" she shrieks as she runs. ""Help!""\n\nTime passes painfully, slowly. Finally, Salvucci turns to both of you. ""We go. Now.""\n\nAll of you start running toward the hanger. ""Keep an eye out for anything,"" Salvucci says. ""It might try to use this plan against us.""\n\nYou reach the hanger in two minutes. You all peek through the threshold to see Markie advancing on a bloodied Strauss, who has her back to the hanger door. The captain's pistol lay on the floor several feet from the pair.\n\n""She's wounded,"" Meat says, defeated. ""Infected.""\n\nMarkie is shuffling closer, giggling. Strauss sees the three of you. She looks over at the panel that controls the hanger door and then looks back at you all. She nods.\n\nYou slowly raise your pistol. Markie grabs the doctor by the throat and lifts her into the air. She chokes her.\n\nMeat raises his rifle. His hands are shaking.\n\n1. [[Mercy kill Strauss first.]]\n2. [[Go ahead and shoot the switch.]]"
"""Hold on, Doc. We're coming!""","""Please hurry,"" she begs. ""We're in the cockpit.""\n\n""Hustle people,"" Meat says, breaking out into a sprint.\n\nYou and Neil follow.\n\nYou keep an eye out for Markie, but, thankfully, she never exploits your panic. When you reach the bend before the cockpit, Meat slows down and raises his hand for you to stop. You do so and listen. Just out of sight, you can hear something cracking.\n\nMeat steps out of the corner. You and Neil join him, your pistol raised in the direction of the cockpit. There, covered in red and yellow grime, his back to you, is Ben biting into Salvucci's leg and tearing away flesh and muscle. Salvucci is against the cockpit's door, either unconscious or dead. Blood trickles from his forehead. A crowbar is next to his body.\n\nMeat aims down the sight and breathes hard.\n\n""Conserve the ammo,"" Neil says.\n\nMeat gently tugs the trigger. A round slams into Ben's neck; the creature masquerading in your crewmate's skin whirls around and slams into the wall. It hisses and stands up. What was once Ben's youthful face glares at you. \n\nThe thing takes a step forward.\n\nMeat fires another two shots that slam into its chest.  Ben is knocked back, but he recovers quickly, taking another step toward you. And then another. He's closing in.\n\n""Well don't just stand there—shoot him!""\n\nYou aim down the sight.\n\n1. [[Fire the gun.]]\n\n"
"""Could be better.""","""I hear that. Level with me though. You think we got a chance against this thing? Whatever it is.""\n\nNeil leans in as well, clearly interested in your response.\n\n1.[[""Of course. We just need to flush it out and kill it...somehow.""]]\n2.[[""No idea.""]]\n3.[[""We're screwed, fellas.""]]\n\n"
"""Yes.""","""Me too, me too."" That's all he says on the matter. The week passes. He leaves. His wife, Rhonda, calls you a month later later to tell you he passed away in his sleep. You can't make the funeral because traveling would make your ailing health even worse.\n\nYou wait. You spend days watching old movies. You try to make your way through a collection of Christine Love's works, but you keep losing your focus.\n\nDeath comes when you're sitting in your loveseat watching a news report on a bridge being built in a neighboring county. It is a quick, painful tremor that starts in your chest and spreads out.\n\nThe dark sets in. You never expected slipping away to be this easy.\n\n\nThe End\n"
"""That's good and all, but what about Markie?""","We have to euthanize her,"" Strauss says, looking through the glass at Markie. ""The infection could spread.""\n\n""I thought you chopped her damn arm off so that wouldn't happen.""\n\n""The possibility of infection still remains and, as I'm sure Julia can attest to, officer Daniels has only worsened in the past half hour. I'd say there's at least a fifty percent chance that what happened to the arm will happen to her.""\n\n""That thing was bad enough, captain,"" Ben says. ""It took three rounds to kill it.""\n\n""We have no idea what kind of beast she'll devolve into—""\n\n""If she turns in the first place. God damn it. This is a fucking human being we're talking about,"" Meat yells.\n\n""Keep your cool, Travis,"" Salvucci commands. \n\n""Captain, if she turns into something, I'm not sure we'll be able to contain it. Protocol states—'\n\n""To hell with your protocol! That's Markie we're talking about. And you said it's a fifty percent chance. That ain't a sure thing. Not by a long shot.""\n\n""Do you really want to bet everyone's lives on a coin toss?""\n\n""Let's just keep her in the cube until something happens, then we decide what to do with her. I've got my rifle. Everybody else has pistols.""\n\n""Yes, because an assault rifle worked wonders for Sergeant Benson, didn't it?""\n\nMeat glares at Strauss but she continues.\n\n""Mark my words, if we don't take care of that thing, it's going to take care of us.""\n\nThe conversation is becoming heated. The captain seems uncertain what to do. \n\n1.[[""Everybody chill the fuck out.""]]\n2.[[""Captain, say something.""]]\n3. [[Shoot Markie.]]\n\n"
"""Why are you such a fucking horndog?""","""Ouch! Yeah, you're right. Sorry. Dumb question,"" he says sheepishly. ""Kind of awkward to put you in that position anyway. I was just—""\n\nA blur of blue darts across your light. You raise your pistol. Ryan looks over his back and then turns to you.\n\n""What is it?""\n\n1.[[""Something over there.""]]\n2.[[""Get out of the way!""]]\n3.[[""MOVE MORON!""]]"
"""Open the damn door.""","Before you can answer, Strauss slams the fist of her unwounded arm against the door.\n\n""Listen here, you little shit. You open this door right now or so help me I'll put you to sleep, slather whatever honey we have left in the cafeteria on your testicles, and we'll use you as bait.""\n\nThe door slides open. Neil's face, boyish as ever, awaits you and Strauss. He is unharmed.\n\n""It eats honey?""\n\n""I don't think I'll ever be able to fathom the depths of your stupidity, pilot.""\n\nNeil frowns; he seems genuinely hurt by the remark.\n\n1.[[""Let's just go.""]]\n2.[["" Doctor Strauss is right; stop dicking around, Neil.""]]\n3.[[""Take it easy on him.""]]"
"""I don't know.""","""Right. Sorry. Dumb question,"" he says sheepishly. ""Kind of awkward to put you in that position anyway. I was just—""\nA blur of blue darts across your light. You raise your pistol.\n\nRyan looks over his back and then at you.\n\n""What is it?""\n\n1.\t[[""I saw something.""]]\n2.\t[[""Get out of the way.""]]\n3.\t[[""MOVE!""]]\n\n"
"Scream in terror.","You crawl away from Ben, shrieking as loud as you can. Markie jabs her scalpel into the boy's eye socket again and again.\n\nShe's in mid plunge when the captain steps into view, plants his pistol against her temple, and fires. Brain, skull bits, and strands of hair blast across the light and onto the floor. The thing that was Markie topples over to the ground, blood spewing out of her nose and mouth as she giggles.\n\nThe red eyes roll around in her head like in a slot machine before settling on you.\n\n""Buy two hypostims, get three free. Just come on down to the Couponia at Rylock's junction this Saturday—""\n\nSalvucci puts another bullet in its face. Markie jerks, and then stops moving completely.\n\nMeat examines Ben. ""He's dead,"" he says. The boy's face is a sea of blood and torn flesh. Half his eyeball has been pushed up through the socket.\n\nA moment passes. Meat raises his gun and puts a round through Ben's head.\n\n1.[[""What the shit, Travis?""]]\n\n"
"""The hanger. We can use the hanger.""","His eyes widen.\n\n""Space. You want to jettison the fucker. That's insane. He's slow though, so maybe it could work.""\n\n1.[[""Maybe, maybe not. Either way, we don't have much to work with and we're running out of time.""]]"
"Wait for someone to say something.","Salvucci turns to Strauss. ""Are we good, doctor?""\n\n""There's no way to know we're infected until we start seeing symptoms.""\n\n""Which would be...""\n\n""I don't know, Travis. From our brief encounter with Markie's transformation, I would be inclined to say that we would drop to the floor and start babbling nonsense while our bodies decayed but she was bitten. If there was an airbone virus when that blob exploded, our transformations could be much more subtle. There's no way to know until whatever happens, happens.""\n\n""A comforting thought,"" Neil says.\n\n""The best thing we can do right now is...just wait. Maybe some of us get some shut eye and then rotate the guard.""\n\n""What are the guards looking out for, exactly?""\n\nStrauss looks at Meat and takes a breath. ""Symptoms. In case something goes wrong with one of the sleepers.""\n\nSalvucci nods. ""We're all a bit tired. Meat, Julia, doctor, you three rest first. Neil and I will keep watch.""\n\n""Make sure not to turn into boogeymen,"" Neil says as the three of you head toward the barracks.\n\n""If I do, I'll eat you first, little man,"" Meat teases back.\n\n1. [[Sleep in the barracks.]]"
"Go ready the pods.","You reach the cryogenics room. You set three of the pods to prepare for a trip to Mars. Each one slides open. \n\nYou wait. An hour later Meat and Salvucci return. Each covered in sweat. ""Found Ben creeping around. Put him down and burned him. Glad the doc wasn't around for that.""\n\n""Two months,"" Salvucci says, staring down into his pod. ""It's going to feel instantaneous.""\n\n""Gonna wake up to a bunch of disbelieving suits asking why most of our crew's dead,"" Meat says, putting his rifle aside. ""I for one cannot wait for that.""\n\nYou get into your pod. You look at your companions.\n\n1.[[""Sleep tight, bitches.""]]\n2.[[""See you at home.""]]"
"Shoot anyway.","You squeeze the trigger. Neil's head swings right in front of the barrel when you do. His head pops. You scream as blood splashes across your face, but you continue firing until the clip goes dry.\n\nYou open your eyes. Neil's corpse is missing the top half of his head. What was Markie is absolutely still, the form riddled with holes.\n\n""Zoe?"" Salvucci says through your walkie.\n\nYou pick up your walkie.\n\n1.[[""Neil and Markie are dead.""]]\n"
"""Let's sleep then.""","""Best goddamn thing I've heard on this stupid voyage. Let's go.""\n\nYou both head to the cryogenics room and ready your pods. They hiss and spew cold air on you as they open.\n\n""Two months,"" he says as he stares at the tube, which you realize now looks very much like a coffin. ""Here's hoping nothing eats us while we're sleeping.""\n\nHe gets in his. You follow suit.\n\n""See you soon, lady.""\n\nYou press the button on the interior door and it slowly closes on your tube. You hear the seal clamp. A mist falls over your face.\n\nYou slowly closes your eyes and hope you wake up.\n\nIt's as though no time passes between the moment the darkness falls over you to when you open your eyes again to see ten soldiers standing over you, peering down, each of them equipped with assault rifles.\n\n""Come on, lieutenant,"" one of them says, lifting you to your feet. You see Meat being held up by two soldiers. He's grinning like a fool.\n\n""We did it,"" his eyes say.\n\nThe troops escort you both to your own personal rooms where you're served cheap stake and soda pop. It tastes superb. \n\nLater, you and Meat are interviewed about the incident aboard the Speedwell. You both answer the interviewer, an older man with a bald spot, as honestly as you can.\n\nAnd then he shows you security footage of Meat killng Strauss...while you and Neil look on.\n\n""Explain,"" he says. Before you can even say anything, Meat jumps in. ""She killed the captain. She would have killed us too if she saw us as obstacles to her survival. You bet I put her the fuck down.""\n\nAnd just like that, his confession damns you. You're both court-martialed. Meat gets life. You get a hard 25 without parole in Titan penitentiary. You don't make the 25. You don't even make five.\n\nWhen you refuse the courtship of one of the most powerful inmates in the penitentiary, she has one of her thugs stab you in your throat while you're taking a shower.\n\nAs the blood and suds and water swishes all around you on the way to the drain, you look up at your nude attacker. On her calf, you see a tattoo of an angel and a demon dancing around a single word: ""Karma.""\n\nYou almost want to laugh. Almost.\n\nThe End\n"
"Put a bullet in your brain.","You can't kill them. You thought you could, but you're not strong enough. Not all of them.\n\n""Zoe, put down the gun...please,""  Salvucci says, hand reaching toward you as he approaches.\n\n""Where's Meat?"" Neil asks.\n\n""What happpened? You can tell me,""  Salvucci says.\n\nThe barrel is cold beneath your chin. The thing screams, cursing your spinlessness.\n\nThe barrel erupts, silencing the voice and sending you careening into quiet, peaceful oblivion.\n\nThe End\n\n\n"
